"","A1-30_1","A1-30_2","A1-30_3","A1-22_1","A1-22_2","A1-22_3","WT-30_1","WT-30_2","WT-30_3","WT-22_1","WT-22_2","WT-22_3"
"A0JNU3|LPP60_MOUSE",9.99406791591965,11.5465924470388,12.1620148696816,13.0572663019442,12.9510078075278,13.323545570444,10.2885241455579,10.9804433986587,12.8915807055417,14.6040520904493,13.2553718509789,13.1394686956276
"A1L317|K1C24_MOUSE",15.0467851014926,14.4861806335941,14.2851803581218,15.3673783694266,14.2755515037945,13.6209384734169,14.4168810315867,14.2842571744946,16.579357043195,14.1325286475021,14.3670663218034,14.8658991982995
"A2A432|CUL4B_MOUSE",13.3833331773181,12.9240166125643,12.9787521736944,12.5910424514511,12.9167778897776,9.98832510418417,13.3487713708192,13.1715102181217,13.2275586375627,12.2441315936696,12.6070738889111,12.7828863588739
"A2A690|TANC2_MOUSE",17.0671601739058,16.931172293139,16.7583269411461,17.0578742494765,17.4792691084929,15.7379099579253,13.1585618815828,16.3032566916211,16.0207490753416,16.9511072589391,17.1786410250248,17.5634523624217
"A2A8L5|PTPRF_MOUSE",15.1409628209894,14.7563628162965,14.989146903473,14.4184550279781,12.4841101799232,13.263442635038,15.6785087024329,14.7539298752645,14.8855224174534,15.0909085775316,15.5834629648842,14.4822832334796
"A2A8Z1|OSBL9_MOUSE",18.5033936938258,16.7598240914854,17.9149227722459,19.5805511729891,18.4004312755516,15.6618126619266,18.6249397809603,16.9171357992348,17.9322705293456,16.7870041653427,19.7579402717888,18.3725387066104
"A2A935|PRD16_MOUSE",18.6203094397848,18.4734892688832,17.8644326476887,19.3105453312497,19.3061925559324,19.5485384113156,19.0777213020139,19.0028320429289,18.2616280490565,18.8186042076693,19.7109335300934,19.4863607345889
"A2A9A2|DMTA2_MOUSE",NA,NA,NA,12.2718633319093,12.3290487343571,12.7832220475471,11.868884890198,11.6729516622459,11.3889775422051,10.3875776270272,11.7981500142518,11.8261999262918
"A2AAJ9|OBSCN_MOUSE",22.8641612017874,19.9228767469297,22.5398739633002,21.5501918140092,22.6082451195237,22.0076797027502,19.9906171378036,20.5890440384698,18.3053591696508,22.5359381298731,19.6535735572127,19.3510097317928
"A2ABU4|MYOM3_MOUSE",15.1289757272111,14.9245729622058,15.7539844915998,15.1604001124444,16.3064809544807,17.3175863506795,15.611296891236,15.4314075635925,15.3488748087871,14.7897451432313,16.0152340507583,16.1665520728821
"A2AGH6|MED12_MOUSE",NA,NA,NA,15.4832458152632,14.8272465279757,13.9110908748666,16.264707033428,13.1867961078155,12.8134455251997,9.65503800700224,14.8174267500717,10.1784700101334
"A2AJ76|HMCN2_MOUSE",9.84680644258354,9.57578100562675,8.96260269499227,9.39182254933222,11.7605854415122,9.09639619798961,11.8154905732541,12.2288125303823,9.2818689110132,8.54925919643363,9.0041339301158,9.5588332574069
"A2AMM0|CAVN4_MOUSE",13.2906392337156,13.1236354839245,12.6687223617473,13.8171940200078,13.865620193457,15.4961269427816,10.4324500326561,13.4805847361921,13.1170428816378,14.0143409948476,13.7613388846847,13.4968692525806
"A2AN08|UBR4_MOUSE",14.5990443028751,11.6125089771584,11.6355951786848,13.6933838152892,9.97248042668437,14.4250775290938,NA,NA,NA,9.23461172465178,9.59901173054692,12.6371896711572
"A2APT9|KLD7A_MOUSE",17.1425184420234,15.9407157428111,16.5867988949981,16.3444145092195,16.5316052649849,14.8586427748926,16.6465229910852,16.7429985626114,16.4715426543454,16.6788608833242,16.5824907319682,16.5604520188299
"A2APY7|NDUF5_MOUSE",14.637986925223,14.183632512827,14.790710296161,14.4345280876784,13.8546851135162,14.1434830256449,15.0508081838491,14.4630603015542,14.9646440600297,14.6191107972847,14.3434756968822,14.2161294745046
"A2AQ07|TBB1_MOUSE",11.1603006424272,12.0387359904436,13.1259233930727,16.1317709685355,14.5388067523254,13.4068706497486,14.0268352849351,13.068963724245,16.6243489701979,15.0536991694103,17.0519543801082,16.369666862222
"A2AQP0|MYH7B_MOUSE",19.1767094473981,19.5391596443175,19.5892435097354,21.5878056662275,18.647085604304,22.8012953040261,19.6528669548921,20.1630840470882,19.5325884053618,20.2594323798323,19.2462906137826,19.3008804871773
"A2ARZ3|FSIP2_MOUSE",18.5505070676988,17.2558259932903,15.1179324473943,15.2483793230132,12.0270373935645,11.0011032704179,15.0709773323687,16.7481100180632,18.1076773476089,9.55014992939669,10.1285925023423,17.3481302495508
"A2ASQ1|AGRIN_MOUSE",15.2101609077367,16.0160554546321,15.3858987910327,14.5001786250518,14.9061059638144,11.3196558651366,14.6139461430496,14.960057471499,14.7058886157541,14.7247810296545,12.9240395567628,14.2021040754291
"A2ASS6|TITIN_MOUSE",22.3026825672314,20.6362179167268,22.1201562282382,23.0975383756469,22.1128005909787,23.4302851096102,21.9055408866719,20.9837511370305,22.8745127695795,21.6188951460513,22.5057761860937,22.9361744071015
"A2AUC9|KLH41_MOUSE",17.7788143095,18.2150980648488,17.55491982601,18.7135367095342,17.7339417406481,19.2750323358346,18.5827710531566,18.2120829589517,18.4277875090987,18.1293558241104,18.1379418815739,18.6204972787385
"A2BDX3|MOCS3_MOUSE",12.8173258628569,12.6602158911072,13.6445068337511,11.6650091417342,10.7898100127849,11.7156328726982,13.1911570158205,12.2620430636722,12.8825106561497,13.0962804688939,11.8500138758087,12.5405676253017
"A2BIM8|MUP18_MOUSE",14.3215620913975,15.0490653175518,14.9900199105917,16.898871536796,15.7777083212071,14.7937399524441,11.6595777801984,14.4535279962871,14.1716898766601,14.8694701756118,14.5216906053461,14.6226857199266
"A3KGB4|TBC8B_MOUSE",14.2119619631697,15.3397658153878,14.9457597571204,15.0986152627397,14.2471350593166,12.5217260566801,14.9994953559281,15.3145255381506,14.8551412484406,15.1653649222133,14.2701763138246,15.1949024475643
"A3KGS3|RGPA2_MOUSE",16.0347390066251,15.8260035753606,16.3380677975426,16.2734035171617,16.0636942072502,15.7831922985277,16.4665200639867,15.8574662241764,15.8305176332535,16.8872594863974,15.2808896368106,17.1623194321905
"A3KMP2|TTC38_MOUSE",16.8458712562635,16.6802891206297,19.4694796575466,17.8458900566829,19.0891038765257,18.8999811217025,16.8642949812088,18.2981382134044,18.8181169686356,17.5606823438633,18.3957839680998,16.6316880712911
"A6H611|MIPEP_MOUSE",15.4541117464992,15.4359355335816,15.5191481673898,15.5822987238892,15.1587217041499,15.54211473578,16.1044197978322,15.5573596780514,15.8639238390064,13.5813637234289,15.9336570027391,15.8784592240709
"A7M7C7|SKOR2_MOUSE",15.659963123799,16.0209821084993,15.7505525455348,15.8141253431385,17.152575998353,16.4363361167433,19.3433083990057,19.1193692484536,16.1630713658097,17.9370608865949,17.1650301372159,16.5249032923012
"B1AR13|CISD3_MOUSE",18.6186174293084,18.8892757911716,18.1211774335202,18.6903366773476,18.4473871735742,16.534063913258,17.9627180065545,16.5789042274972,17.7166565140602,17.6867602578488,18.4493489789026,18.2615047382055
"B1ARD8|SLFN8_MOUSE",14.9965948557329,17.8371994462752,17.7986902443155,14.4732330805074,13.9544840961574,13.9883587655982,16.8318170112236,18.5132495376785,19.0215626291383,17.940885181639,14.2160180408773,15.9953805493652
"B1AUR6|MMS22_MOUSE",13.9026912818089,14.5179590543813,18.2923863455421,14.1107760930404,14.1727931367465,14.9628440536473,14.1161245346807,14.2210669353292,12.4403338959283,14.4114508744663,14.0370986158953,14.0349596924061
"B1AY13|UBP24_MOUSE",12.5150544722523,12.9213065203797,13.0007484504303,15.6728707285139,12.2582316137541,17.597049100129,12.2000113567382,12.4624936583223,12.8677215011344,12.9134427744907,12.28870740935,12.2834866023004
"B2RR83|YTDC2_MOUSE",15.2571081018749,13.9616528077991,16.979756757361,15.8244506955785,15.7347608946776,15.7796374164781,15.2534829989394,14.9444860503965,15.0446687824837,15.420453058328,15.8639806388523,15.9059301934553
"B2RSH2|GNAI1_MOUSE",17.0376914006898,17.1371878916803,16.4537030818582,16.4740926547704,15.8803323529198,15.4898967120232,15.9629520207156,16.1518028201945,16.7502973629281,15.582214120489,16.4652785417245,16.358851370557
"B2RXS4|PLXB2_MOUSE",11.3649343592589,10.3819454220975,10.5479469732222,12.3958532710026,11.595265315066,14.2021475521722,12.005127309119,12.9694794480574,11.8694462505333,12.3302847204769,12.0345474661216,12.318798196088
"B2RY56|RBM25_MOUSE",13.7543677398579,13.9617994729823,12.7387692087444,13.7891438812706,13.8683836039719,12.4348165527191,14.865323588966,13.6344353561346,14.6876289967842,13.3272171925221,15.1588649850965,14.7227244564339
"B5X0G2|MUP17_MOUSE",14.3215620913975,15.0490653175518,14.9900199105917,16.898871536796,15.7777083212071,14.7937399524441,11.6595777801984,14.4535279962871,14.1716898766601,14.8694701756118,14.5216906053461,14.6226857199266
"B7ZCC9|AGRG4_MOUSE",14.3751908183217,12.3180870799566,15.5165402109322,9.08165089607475,11.5545747987619,9.10434531726351,12.7810815990535,12.6286784896929,13.3703900560391,11.8999134616943,12.7630826595453,11.9859248824699
"B7ZNG0|KIF7_MOUSE",9.92197640657436,14.162470479684,10.9519305901398,NA,NA,NA,12.0154101736996,12.3131752147206,10.7563357317656,10.0879822178952,9.48113141953949,9.33209497129129
"B9EJR8|DAAF5_MOUSE",15.6063495142475,15.6698104646768,15.3923534300453,14.5765697611484,16.4806371779582,11.0202500755435,15.5051476647304,15.5183922260132,15.612524566766,10.3476456400151,10.487521462518,15.9115541976466
"C0HKG5|RNT2A_MOUSE",13.8379568380297,12.3838107898893,11.5854379200119,14.0241973319422,14.0803507908929,11.5630899493981,12.9554924446807,12.2074369666894,12.1634488230371,13.3626441220543,13.1652289208832,13.4992447219434
"C0HKG6|RNT2B_MOUSE",13.8379568380297,12.3838107898893,11.5854379200119,14.0241973319422,14.0803507908929,11.5630899493981,12.9554924446807,12.2074369666894,12.1634488230371,13.3626441220543,13.1652289208832,13.4992447219434
"D3YXK2|SAFB1_MOUSE",13.7179761323888,15.7015521432682,15.9325556582173,14.2487966799926,14.4795822966239,17.9819428233704,14.4872831550797,13.4512811838897,13.8030548519139,14.0471904715916,15.0254886847691,14.8631675202949
"D3Z4R1|HFM1_MOUSE",NA,NA,NA,9.63039173291995,14.3252561884056,8.06706712494527,14.0287070122983,12.4560165487384,13.9848668280159,NA,NA,NA
"E5FYH1|TOPZ1_MOUSE",12.7011809030347,12.4530527983983,11.2788809244579,12.916031966383,15.8286122451307,14.0320836195694,12.9497973532939,12.3089526423518,15.783311870926,12.7531905238207,12.7662644247737,12.5258114720972
