"Protein Group","Top","Accession","Significance","Coverage (%)","#Peptides","#Unique","PTM","WT-30_1 Area","WT-30_2 Area","WT-30_3 Area","WT-22_1 Area","WT-22_2 Area","WT-22_3 Area","A1-30_1 Area","A1-30_2 Area","A1-30_3 Area","A1-22_1 Area","A1-22_2 Area","A1-22_3 Area","Sample Profile (Ratio)","WT-30 Area","WT-22 Area","A1-30 Area","A1-22 Area","Group Profile (Ratio)","Avg. Mass","Description"
3277,TRUE,"Q5IRJ6|ZNT9_MOUSE",14.10,1.59,1,1,"",31692.707,92069.34,20599.605,16446.041,25420.455,14822.195,14514.6455,2899.9497,4082.8438,8880.715,13742.733,0.0,1.55:4.51:1.01:0.80:1.24:0.73:0.71:0.14:0.20:0.43:0.67:0.00,48120.55,18896.23,7165.813,11311.725,2.25:0.88:0.34:0.53,62875,"Proton-coupled zinc antiporter SLC30A9, mitochondrial OS=Mus musculus OX=10090 GN=Slc30a9 PE=1 SV=2"
333,TRUE,"P62702|RS4X_MOUSE",4.18,57.41,17,16,"Carbamidomethylation; Oxidation (M)",347554.28,542483.25,470924.84,1868043.2,431879.53,751242.8,663843.2,504995.75,477371.66,547144.6,635799.75,2618285.0,0.42:0.66:0.57:2.27:0.53:0.91:0.81:0.61:0.58:0.67:0.77:3.19,453654.12,1017055.25,559110.0,1267076.4,0.55:1.23:0.68:1.54,29598,"Small ribosomal subunit protein eS4 OS=Mus musculus OX=10090 GN=Rps4x PE=1 SV=2"
2644,TRUE,"Q9JIM3|ER6L2_MOUSE",59.63,0.39,1,1,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3515.9375,2802.0935,45265.008,0.00:0.00:0.00:0.00:0.00:0.00:0.00:0.00:0.00:0.82:0.65:10.53,0.0,0.0,0.0,17194.346,0.00:0.00:0.00:4.00,173873,"DNA excision repair protein ERCC-6-like 2 OS=Mus musculus OX=10090 GN=Ercc6l2 PE=1 SV=3"
3198,TRUE,"P61804|DAD1_MOUSE",5.53,10.62,1,1,"",73264.984,63474.17,40860.605,151825.86,124637.78,65273.895,51128.3,145376.05,64909.875,121186.63,137092.75,73511.68,0.79:0.68:0.44:1.64:1.34:0.70:0.55:1.57:0.70:1.31:1.48:0.79,59199.92,113912.516,87138.08,110597.02,0.64:1.23:0.94:1.19,12497,"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 OS=Mus musculus OX=10090 GN=Dad1 PE=1 SV=3"
398,TRUE,"Q9CR62|M2OM_MOUSE",20.03,43.95,16,16,"Acetylation (Protein N-term); Carbamidomethylation; Oxidation (M)",720770.25,842100.56,623759.0,848456.7,1704191.2,1132129.8,1465531.9,675834.44,694653.0,410975.72,409494.16,231441.38,0.89:1.04:0.77:1.04:2.10:1.39:1.80:0.83:0.85:0.51:0.50:0.28,728876.6,1228259.2,945339.75,350637.06,0.90:1.51:1.16:0.43,34155,"Mitochondrial 2-oxoglutarate/malate carrier protein OS=Mus musculus OX=10090 GN=Slc25a11 PE=1 SV=3"
1935,TRUE,"Q9D2C7|BI1_MOUSE",4.87,3.38,1,1,"",6274.134,9933.898,14562.034,11081.977,55239.8,15598.563,12616.256,16187.868,12356.869,13335.63,15918.1875,23804.297,0.36:0.58:0.84:0.64:3.20:0.90:0.73:0.94:0.72:0.77:0.92:1.38,10256.688,27306.781,13720.331,17686.04,0.59:1.58:0.80:1.03,26478,"Bax inhibitor 1 OS=Mus musculus OX=10090 GN=Tmbim6 PE=1 SV=1"
73,FALSE,"Q9WV04|KIF9_MOUSE",5.70,1.01,1,1,"",0.0,16212.617,0.0,29470.934,2038.2305,0.0,2317.2217,45362.613,0.0,1107.0785,23060.168,1514.2196,0.00:1.61:0.00:2.92:0.20:0.00:0.23:4.50:0.00:0.11:2.29:0.15,16212.617,15754.582,23839.918,8560.488,1.01:0.98:1.48:0.53,89898,"Kinesin-like protein KIF9 OS=Mus musculus OX=10090 GN=Kif9 PE=1 SV=2"
497,TRUE,"Q8BH86|GLUCM_MOUSE",2.79,20.10,12,12,"",2513584.5,1619127.4,345862.22,968215.06,907037.8,629874.5,686923.3,976069.0,476138.4,1302239.9,963478.4,1962715.2,2.26:1.46:0.31:0.87:0.82:0.57:0.62:0.88:0.43:1.17:0.87:1.76,1492858.0,835042.44,713043.6,1409477.9,1.34:0.75:0.64:1.27,66366,"D-glutamate cyclase, mitochondrial OS=Mus musculus OX=10090 GN=Dglucy PE=1 SV=1"
932,TRUE,"P47199|QOR_MOUSE",31.27,25.98,6,6,"Carbamidomethylation",362206.3,266296.06,232474.66,477625.6,491154.06,358887.0,200786.34,231344.58,161732.67,166005.48,87459.7,103136.33,1.38:1.02:0.89:1.83:1.88:1.37:0.77:0.88:0.62:0.63:0.33:0.39,286992.34,442555.56,197954.53,124432.13,1.09:1.68:0.75:0.47,35269,"Quinone oxidoreductase OS=Mus musculus OX=10090 GN=Cryz PE=1 SV=1"
709,TRUE,"Q8K183|PDXK_MOUSE",4.03,28.21,7,7,"Acetylation (Protein N-term); Carbamidomethylation; Oxidation (M)",376522.3,392272.56,244183.98,312515.9,1958410.2,265325.56,238761.27,443591.72,336268.06,315217.66,227838.16,133935.5,0.86:0.90:0.56:0.72:4.48:0.61:0.55:1.01:0.77:0.72:0.52:0.31,337659.62,845417.25,339540.38,225663.78,0.77:1.93:0.78:0.52,35015,"Pyridoxal kinase OS=Mus musculus OX=10090 GN=Pdxk PE=1 SV=1"
737,TRUE,"P60335|PCBP1_MOUSE",11.13,18.54,9,5,"Carbamidomethylation",136558.22,170449.34,299964.2,327884.38,303289.94,294629.0,196644.94,179605.8,119876.38,229482.0,205271.1,156639.0,0.63:0.78:1.37:1.50:1.39:1.35:0.90:0.82:0.55:1.05:0.94:0.72,220946.1,308601.12,165375.7,230923.1,0.95:1.33:0.71:1.00,37498,"Poly(rC)-binding protein 1 OS=Mus musculus OX=10090 GN=Pcbp1 PE=1 SV=1"
802,TRUE,"P04104|K2C1_MOUSE",7.49,2.83,8,3,"",112123.625,33357.71,106699.67,198985.25,252567.03,89929.44,104114.21,63053.098,73468.09,124120.44,198870.12,106752.266,0.92:0.27:0.87:1.63:2.07:0.74:0.85:0.52:0.60:1.02:1.63:0.87,84060.336,180493.9,80211.805,143247.61,0.69:1.48:0.66:1.17,65606,"Keratin, type II cytoskeletal 1 OS=Mus musculus OX=10090 GN=Krt1 PE=1 SV=4"
2162,TRUE,"P06837|NEUM_MOUSE",0.21,16.30,2,2,"",18585.312,14997.653,12706.63,10884.116,23101.805,15075.883,25941.703,19566.623,14818.691,47394.516,16741.473,5517.926,0.99:0.80:0.68:0.58:1.23:0.80:1.38:1.04:0.79:2.52:0.89:0.29,15429.865,16353.935,20109.006,23446.04,0.82:0.87:1.07:1.24,23632,"Neuromodulin OS=Mus musculus OX=10090 GN=Gap43 PE=1 SV=1"
1678,TRUE,"B2RY56|RBM25_MOUSE",5.68,1.55,2,1,"",29847.523,12716.688,26388.633,10277.61,36582.473,27038.443,13819.0205,15955.868,6835.2065,14156.175,14955.449,5536.7227,1.67:0.71:1.48:0.58:2.05:1.52:0.77:0.89:0.38:0.79:0.84:0.31,22984.281,24632.842,12203.365,11549.449,1.29:1.38:0.68:0.65,99552,"RNA-binding protein 25 OS=Mus musculus OX=10090 GN=Rbm25 PE=1 SV=2"
2924,TRUE,"P50429|ARSB_MOUSE",38.83,2.06,1,1,"",0.0,0.0,0.0,0.0,9752.46,7601.9814,1903.7627,9874.879,0.0,5741.998,10174.63,149986.28,0.00:0.00:0.00:0.00:0.60:0.47:0.12:0.61:0.00:0.35:0.63:9.23,0.0,8677.221,5889.321,55300.97,0.00:0.50:0.34:3.17,59647,"Arylsulfatase B OS=Mus musculus OX=10090 GN=Arsb PE=1 SV=3"
1166,TRUE,"Q9WV85|NDK3_MOUSE",2.20,31.36,4,4,"",156554.22,292392.47,524523.25,188646.44,95050.77,290222.28,98462.05,417848.12,169790.89,180982.16,255882.5,46413.35,0.69:1.29:2.32:0.83:0.42:1.28:0.43:1.85:0.75:0.80:1.13:0.21,324489.97,192424.86,231668.56,163566.48,1.42:0.84:1.02:0.72,19099,"Nucleoside diphosphate kinase 3 OS=Mus musculus OX=10090 GN=Nme3 PE=1 SV=3"
189,TRUE,"Q3ULD5|MCCB_MOUSE",7.72,57.55,28,28,"Acetylation (Protein N-term); Carbamidomethylation; Oxidation (M)",460837.88,721699.6,252909.94,1669120.0,1612857.6,716261.6,890298.25,583459.2,1033050.2,1830544.2,629090.06,1.2122049E7,0.25:0.38:0.13:0.89:0.86:0.38:0.47:0.31:0.55:0.98:0.34:6.46,478482.47,1332746.4,835602.56,4861271.0,0.25:0.71:0.45:2.59,61379,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Mus musculus OX=10090 GN=Mccc2 PE=1 SV=1"
