"Accession","A1-30_1","A1-30_2","A1-30_3","A1-22_1","A1-22_2","A1-22_3","WT-30_1","WT-30_2","WT-30_3","WT-22_1","WT-22_2","WT-22_3","pvalue_A1_22_vs_A1_30","pvalue_WT_22_vs_WT_30","log2FC_A1_22_vs_A1_30","log2FC_WT_22_vs_WT_30","Significance_A1_22_vs_A1_30","Significance_WT_22_vs_WT_30","Direction_A1_22","Direction_WT_22","Protein Group","Avg. Mass","Description","Coverage (%)","#Peptides","#Unique","PTM"
"A0JNU3|LPP60_MOUSE",9.99406791591965,11.5465924470388,12.1620148696816,13.0572663019442,12.9510078075278,13.323545570444,10.2885241455579,10.9804433986587,12.8915807055417,14.6040520904493,13.2553718509789,13.1394686956276,0.0456059801825068,0.0662917452348043,1.8763814824253,2.27944812909918,TRUE,FALSE,"Up","NS",1843,60595,"60 kDa lysophospholipase OS=Mus musculus OX=10090 GN=Aspg PE=1 SV=1",2.3,1,1,NA
"A1L317|K1C24_MOUSE",15.0467851014926,14.4861806335941,14.2851803581218,15.3673783694266,14.2755515037945,13.6209384734169,14.4168810315867,14.2842571744946,16.579357043195,14.1325286475021,14.3670663218034,14.8658991982995,0.757198171555184,0.456251222612483,-0.184759248856846,-0.638333693890445,FALSE,FALSE,"NS","NS",1738,54041,"Keratin, type I cytoskeletal 24 OS=Mus musculus OX=10090 GN=Krt24 PE=2 SV=2",1.17,2,1,NA
"A2A432|CUL4B_MOUSE",13.3833331773181,12.9240166125643,12.9787521736944,12.5910424514511,12.9167778897776,9.98832510418417,13.3487713708192,13.1715102181217,13.2275586375627,12.2441315936696,12.6070738889111,12.7828863588739,0.249241792776384,0.0134944619989639,-1.26331883938795,-0.704582795016359,FALSE,TRUE,"NS","Down",1654,110699,"Cullin-4B OS=Mus musculus OX=10090 GN=Cul4b PE=1 SV=1",1.65,1,1,NA
"A2A690|TANC2_MOUSE",17.0671601739058,16.931172293139,16.7583269411461,17.0578742494765,17.4792691084929,15.7379099579253,13.1585618815828,16.3032566916211,16.0207490753416,16.9511072589391,17.1786410250248,17.5634523624217,0.777906546179458,0.112321295066282,-0.160535364098763,2.07021099928004,FALSE,FALSE,"NS","NS",2332,220263,"Protein TANC2 OS=Mus musculus OX=10090 GN=Tanc2 PE=1 SV=1",0.65,2,2,NA
"A2A8L5|PTPRF_MOUSE",15.1409628209894,14.7563628162965,14.989146903473,14.4184550279781,12.4841101799232,13.263442635038,15.6785087024329,14.7539298752645,14.8855224174534,15.0909085775316,15.5834629648842,14.4822832334796,0.051562784624833,0.906499526286118,-1.57348823260655,-0.0537687397518489,FALSE,FALSE,"NS","NS",1919,211489,"Receptor-type tyrosine-protein phosphatase F OS=Mus musculus OX=10090 GN=Ptprf PE=1 SV=1",0.32,1,1,NA
"A2A8Z1|OSBL9_MOUSE",18.5033936938258,16.7598240914854,17.9149227722459,19.5805511729891,18.4004312755516,15.6618126619266,18.6249397809603,16.9171357992348,17.9322705293456,16.7870041653427,19.7579402717888,18.3725387066104,0.908717363226822,0.652852396807182,0.154884850970078,0.48104567806709,FALSE,FALSE,"NS","NS",1024,83109,"Oxysterol-binding protein-related protein 9 OS=Mus musculus OX=10090 GN=Osbpl9 PE=1 SV=1",4.35,4,3,NA
"A2A935|PRD16_MOUSE",18.6203094397848,18.4734892688832,17.8644326476887,19.3105453312497,19.3061925559324,19.5485384113156,19.0777213020139,19.0028320429289,18.2616280490565,18.8186042076693,19.7109335300934,19.4863607345889,0.0120078721607337,0.209735573973865,1.06901498071365,0.557905692784129,TRUE,FALSE,"Up","NS",2972,140858,"Histone-lysine N-methyltransferase PRDM16 OS=Mus musculus OX=10090 GN=Prdm16 PE=1 SV=1",0.71,1,1,NA
"A2A9A2|DMTA2_MOUSE",NA,NA,NA,12.2718633319093,12.3290487343571,12.7832220475471,11.868884890198,11.6729516622459,11.3889775422051,10.3875776270272,11.7981500142518,11.8261999262918,NA,0.569519745319063,NA,-0.306295509026054,FALSE,FALSE,"NS","NS",2624,52927,"Doublesex- and mab-3-related transcription factor A2 OS=Mus musculus OX=10090 GN=Dmrta2 PE=2 SV=1",1.13,1,1,NA
"A2AAJ9|OBSCN_MOUSE",22.8641612017874,19.9228767469297,22.5398739633002,21.5501918140092,22.6082451195237,22.0076797027502,19.9906171378036,20.5890440384698,18.3053591696508,22.5359381298731,19.6535735572127,19.3510097317928,0.789517695282414,0.509520601336553,0.279734908088567,0.885167024318175,FALSE,FALSE,"NS","NS",39,966591,"Obscurin OS=Mus musculus OX=10090 GN=Obscn PE=1 SV=3",7.62,65,60,"Acetylation (Protein N-term); Carbamidomethylation; Oxidation (M)"
"A2ABU4|MYOM3_MOUSE",15.1289757272111,14.9245729622058,15.7539844915998,15.1604001124444,16.3064809544807,17.3175863506795,15.611296891236,15.4314075635925,15.3488748087871,14.7897451432313,16.0152340507583,16.1665520728821,0.213384735775284,0.684909791219821,0.99231141219593,0.193317334418666,FALSE,FALSE,"NS","NS",1281,161778,"Myomesin-3 OS=Mus musculus OX=10090 GN=Myom3 PE=1 SV=1",2.64,3,3,NA
